region;departement;ville;adresse_gare;message_conjoncturel;horaire_guichet;nom_arret;codeuic;type_arret;presence_distributeur_billet;information_acessibilite_pmr;info;presence_metro;info_metro;presence_tramway;info_tramway;presence_bus;info_bus;presence_navette;info_navette;presence_cars;info_complementaire_presence_cars;presence_navette_fluviale;info_navette_fluviale;info_autopartage;presence_parking_velo;presence_parking_moto;presence_parking;info_covoiturage;presence_taxi;info_taxi;info_ligne_ter;lien_info_ligne_ter
rhone_alpes;Drôme;Valence;"38, rue Denis Papin
26000 Valence";;"Lundi à vendredi : 06h30-20h00.
Samedi : 07h00-20h00.
Dimanche : 09h45-20h00.
Férié : 12h00-20h00";61 Grenoble - Valence;87761007;Gare;oui;Accueil handicapés: Fauteuil roulant, élévateur rampes d'embarquement, toilettes aménagées.;"Horaires d'ouverture de la gare:  
Lundi à vendredi : 06h30-20h00.
Samedi : 07h00-20h00.
Dimanche : 09h45-20h00.
Férié : 12h00-20h00  
Salle d'attente, Relais toilettes.
Service bagages.
Objets trouvés : Ouverture du lundi au samedi de 14h00 à 18h00. Tél 04 75 79 52 44.";non;;non;;oui;;;;;;;;;non;;oui;;oui;Service taxis : 04 75 42 26 00;;
rhone_alpes;Drôme;Valence;"38, rue Denis Papin
26000 Valence";;"Lundi à vendredi : 06h30-20h00.
Samedi : 07h00-20h00.
Dimanche : 09h45-20h00.
Férié : 12h00-20h00";Le Réseau Routier Etudiant;87761007;Gare;oui;Accueil handicapés: Fauteuil roulant, élévateur rampes d'embarquement, toilettes aménagées.;"Horaires d'ouverture de la gare:  
Lundi à vendredi : 06h30-20h00.
Samedi : 07h00-20h00.
Dimanche : 09h45-20h00.
Férié : 12h00-20h00  
Salle d'attente, Relais toilettes.
Service bagages.
Objets trouvés : Ouverture du lundi au samedi de 14h00 à 18h00. Tél 04 75 79 52 44.";non;;non;;oui;;;;;;;;;non;;oui;;oui;Service taxis : 04 75 42 26 00;;
rhone_alpes;Isère;Clelles-Mens;"Gare SNCF de Clelles-Mens
38930 Clelles en Trièves";;;63 Grenoble - Gap;87747626;Halte Ferroviaire;oui;;"Horaire d'ouverture de la gare entre mi-décembre et mi-mars:
Lundi à Samedi : 05h00-20h25.
Dimanche, férié : 06h30-20h25.
Horaire d'ouverture de la gare entre mi-mars et mi-décembre:
 Lundi à Samedi : 08h15-15h50.
Dimanche, férié : 12h05-20h30.

Taxis-Ter tél 04 76 34 42 42 (avant 18h00), communes desservies :  Chichilianne, Lalley, Le Monestier-du-Percy, Le Percy, St-Martin-de-Clelles, Saint-Maurice-en-Trièves.Toilettes aménagées, salle d'attente.";non;;non;;non;;;;;;;;;oui;;oui;;non;;;
rhone_alpes;Isère;Goncelin;"Gare SNCF
38570 Goncelin";;"Mardi à vendredi : 10h30-13h00 / 15h00-19h00.
Samedi : 08h30-15h00.";60 Grenoble - Chambéry;87747477;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi : 06h00-09h00
Mardi à vendredi : 06h00-09h00 / 10h30-13h00 / 15h00-19h00.
Samedi : 08h30 - 15h00
Dimanche, férié : Fermé.

Salle d'attente.
Taxis : 04 76 71 87 29";non;;non;;non;;;;;;;;;oui;;oui;;oui;;;
rhone_alpes;Isère;Grenoble;"1, place de la Gare
38000 Grenoble";;"Lundi à vendredi : 06h00-20h00.
Samedi : 06h00-19h00. 
Dimanche, jours fériés : 09h00-20h00.";60 Grenoble - Chambéry;87747006;Gare;oui;Accueil handicapés : Fauteuils roulants, élévateurs, rampes d'embarquement, ascenseurs, toilettes aménagées.;"Horaires d'ouverture de la gare:
Lundi à jeudi et samedi : 04h15-23h30.
Vendredi, Dimanche, jours fériés : 04h15-00h30

Relais toilettes, coin nurserie, salle d'attente, Parking vélo payant.
Objets trouvés : Ouverture du lundi au vendredi sauf les jours fériés de 7h15 à 09h45. Tél : 04 76 28 63 04.

Restaurant / Buffet / Bar, Relay presse, vente express. 
Gare routière, Navettes aéroport, Tramway.

Location voiture : AVIS Tél : 04 76 47 11 33, HERTZ, ADA, EUROPCAR, NATIONAL CITER.
Vélostation Tél : 04 76 85 08 94 .";non;;oui;;oui;;;;;;;;;oui;;oui;;oui;Station Taxis Tél : 04 76 54 42 54.;;
rhone_alpes;Isère;Grenoble-Université-Gières;"Avenue de la Gare
39610 Gières";;"Lundi à vendredi :09h00-18h00.
Mardi à vendredi : 09h00-18h30.
Samedi : 09h00-12h00 /14h00-17h00. 
Dimanche, férié : Fermé.";02 Genève/Annecy - Grenoble - Valence;87747006;Gare;oui;;"Horaire d'ouverture de la gare:
Tous les jours : 05h30-21h00Salle d'attente, relais toilettes. Distributeur de boisson. 
Taxi tél : 06 08 42 32 33.";non;;oui;;non;;;;;;;;;non;;oui;;non;;;
rhone_alpes;Isère;La Verpillière;"Avenue de la Gare
38290 La Verpillière";;"Lundi à Samedi : 05h20-12h10 / 12h45-19h50
Dimanche et fériés : 12h50-19h50.";01 Grenoble - Bourgoin-Jallieu - Lyon;87723395;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi à Samedi : 05h15-19h50
Dimanche et férié : 12h45-19h00.

Salle d'attente, relais toilettes.";non;;non;;oui;;;;;;;;;oui;;oui;;non;;;
rhone_alpes;Isère;Les Abrets Fitilieu;"Place de la Gare
38490 Les Abrets Fitilieu";;;54 Chambéry - Lyon;87741496;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;oui;;oui;;non;;;
rhone_alpes;Isère;Moirans;"Avenue de la Gare
38430 Moirans";;"Lundi à vendredi : 06h00-12h30 / 13h00-19h30.
Samedi : 09h45-12h30 / 14h00-18h30
Dimanche et férié : 12h15-19h30";61 Grenoble - Valence;87747329;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi-vendredi : 06h00-19h30.
Samedi : 09h45-18h30
Dimanche et férié : 12h45-19h30. 

Salle d'attente, relais toilettes.";non;;non;;non;;;;;;;;;oui;;oui;;oui;04 76 35 31 19;;
rhone_alpes;Isère;Pontcharra-sur-Bréda;"1 place de la Gare
38530 Pontcharra sur Bréda.";;"Lundi-vendredi : 
06h15-08h30 (vente TER uniquement).
12h-19h (toutes ventes)
Samedi, Dimanche et férié : 07h30-13h30 / 14h30-19h00 (vente TER uniquement).";02 Genève/Annecy - Grenoble - Valence;87747493;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi-vendredi : 05h45-21h45.
Samedi : 06h30-21h45.
Dimanche et férié : 07h00-21h45.

Salle d'attente, relais toilettes.";non;;non;;non;;;;;;;;;oui;;oui;;oui;04 76 97 61 57;;
rhone_alpes;Isère;St-André-le-Gaz;"12 rue des Martyrs du 8 juillet 1944
38040 St André le Gaz.";;"Lundi : 06h30 à 13h40
Mardi à vendredi : 10h50-18h00
Samedi, dimanche et férié : 08h00-12h20 / 13h45-18h50.";54 Chambéry - Lyon;87723494;Gare;oui;;"Horaire d'ouverture de la gare:
Tous les jours : 05h00-23h00.

Salle d'attente, relais toilettes.
Commerce : Vente express.
Taxis : tél 04 76 31 81 61.";non;;non;;non;;;;;;;;;oui;;oui;;oui;;;
rhone_alpes;Isère;St-Georges-de-Commiers;"Point d'arrêt de St-Georges-de-Commiers
38450 St Georges de Commiers.";;;63 Grenoble - Gap;87747568;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;oui;;oui;;non;;;
rhone_alpes;Isère;St-Marcellin;"Boulevard de la Gare
38160 St Marcellin";;"Lundi à vendredi : 05h35-12h50 / 13h30-20h45.
Samedi : 09h00-12h00 / 14h30-18h45 
Dimanche et férié : 13h30-20h45.";02 Genève/Annecy - Grenoble - Valence;87761718;Gare;oui;Accueil handicapés : fauteuils roulants, élévateur rampes d'embarquement, toilettes aménagées.;"Horaire d'ouverture de la gare:
Lundi à samedi : 05h35-21h00.
Dimanche et férié : 06h30-21h00.Salle d'attente, relais toilettes.Location de voitures.";non;;non;;non;;;;;;;;;oui;;oui;;oui;04 76 64 05 81;;
rhone_alpes;Isère;Vienne;"Place Pierre Semard
38200 vienne";;"Lundi à samedi : 05h15-20h00.
Dimanche et férié :05h15-21h00";05 (Marseille) - Avignon - Valence - Lyon;87722587;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi à samedi : 05h15-20h00.
Dimanche et férié :05h15-21h00Salle d'attente.Distributeur boissons-friandises ; Cabine photos ; photocopies.
Taxis tél 04 74 85 10 09";non;;non;;oui;;;;;;;;;oui;;oui;;non;;;
rhone_alpes;Isère;Voreppe;"Rue de Beauvillage
38340 Voreppe";;"Lundi à vendredi : 10h15-13h00 / 14h00-18h20.
Samedi, dimanche et férié : Fermé";62 Grenoble - St André-le-Gaz;87747337;Gare;oui;;"Horaire d'ouverture de la gare:
Lundi à vendredi : 10h15-13h00 / 14h00-18h20.
Samedi, dimanche et férié : Fermé

Salle d'attente, relais toilettes.
Vente express.
Taxi tél : 04 76 50 22 09.";non;;non;;non;;;;;;;;;oui;;oui;;oui;;;
limousin;Creuse;La Courtine (SNCF);"Gare SNCF
23100 LA COURTINE";;"gare fermée
Renseignements à la Mairie
Place de la Mairie
23100 LA COURTINE
Tél: 05 55 66 76 58";Ligne 13 Ussel-Felletin;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;Lavaveix Les Mines (SNCF);23150 LAVAVEIX LES MINESCoordonnées GPS : 46.072521 x 2.0887453;;"gare fermée
Renseignements à la Mairie
35 Rue du Centre
23150 LAVAVEIX LES MINES
Tél: 05 55 62 42 15";Ligne 15 Felletin-Gueret-La Souterraine;;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
limousin;Creuse;Mérinchal;;;Point d'arrêt;Ligne 12 Ussel-Montlucon;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;Parsac Gouzon (SNCF);23230 GOUZONCoordonnées GPS : 46.1923401 x 2.2395229;;"gare fermée
Renseignements à la mairie
4 Avenue du Général De Gaulle
23230 GOUZON
Tél: 05 55 62 20 39";Ligne 10 Limoges-Gueret-Montlucon;87597724;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
limousin;Creuse;Le Trois et Demi;;;;Ligne 15 Felletin-Gueret-La Souterraine;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;Chenerailles;23130 CHENERAILLES;;"Renseignements à la Mairie
10 Rue de l'église
23130 CHENERAILLES
Tél: 05 55 62 37 22";Ligne 14 Felletin-Montlucon;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;La Courtine (SNCF);"Gare SNCF
23100 LA COURTINE";;"gare fermée
Renseignements à la Mairie
Place de la Mairie
23100 LA COURTINE
Tél: 05 55 66 76 58";Ligne 13 Ussel-Felletin;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;Chard;Arrêt routierPour tout renseignement, veuillez contacter la mairie de Chard :tel : 05 55 67 24 84Adresse : Le Bourg 23700 Chard;;;Ligne 12 Ussel-Montlucon;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Creuse;Montboucher;23400 MONTBOUCHER;;"Renseignements à la Mairie
Le Bourg
23400 MONTBOUCHER
Tél: 05 55 64 12 87";Ligne 09 Limoges-Bourganeuf-Felletin;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Corrèze;Aix La Marsalouse;19200 AIX LA MARSALOUSECoordonnées GPS : 45.6108133 x 2.3973991;;"Gare fermée à la vente et renseignements
Renseignements à la Mairie
Le Bourg
19200 AIX LA MARSALOUSE
Tél: 05 55 72 17 06";Ligne 11 Brive-Tulle-Ussel-Clermont Ferrand;87594291;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
limousin;Corrèze;Brive La Gaillarde;"162 Avenue Jean Jaurès
19100 BRIVE LA GAILLARDE
Coordonnées GPS : 45.1487308 x 1.5195771";;Lundi : 6h15 à 20h00mardi au samedi : 6h30 à 20h00dimanche et fêtes : 7h15 à 20h00;Ligne 06 Limoges-Uzerche-Brive;87594002;Gare;oui;OUIAssistance pour handicapésFauteuil roulantChariot élévateurToilettes aménagées;;non;;non;;oui;"http://www.libeo-brive.fr/
/Regions/limousin/Fr/Se_deplacer_en_TER/Avant_mon_voyage/Produits_et_prix/TousProduits.aspx?mode=1";;;Non;;;;;oui;;oui;;oui;http://www.allo-brive-radio-taxi.fr/;;
limousin;Corrèze;Egletons (SNCF);"Gare SNCF
19300 EGLETONS
Coordonnées GPS : 45.4060213 x 2.0454459";;"lundi au vendredi : de 5h45 à 21h20 
samedi : de 5h45 à 20h10Dimanche et Fêtes : de 6h45 à 21h20";Ligne 11 Brive-Tulle-Ussel-Clermont Ferrand;87594168;Gare;non;Assistance pour handicapés pendant l'ouverture de la gare;parcotrain;non;;non;;oui;;;;Non;;;;;oui;;oui;;non;Amrein Taxi tel 05 55 93 02 41;;
limousin;Corrèze;Eygurande Merlines;"Place de la gare
19340 MERLINES
Coordonnées GPS : 45.6469845 x 2.4599386";;"Gare fermée
Renseignements pendant l'ouverture de la gare à la circulation";Ligne 11 Brive-Tulle-Ussel-Clermont Ferrand;87641241;Halte Ferroviaire;non;;;non;;non;;non;;;;Non;;;;;non;;oui;;non;;;
limousin;Corrèze;Lubersac;"Gare SNCF
19210 LUBERSACCoordonnées GPS : 45.4443124 x 1.4037949";;"gare fermée
Renseignements à la Mairie
3 Rue du Général Souham
19210 LUBERSAC
Tél: 05 55 73 50 14";Ligne 05 Limoges-St Yrieix-Brive;87594671;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;oui;;non;Brugère Sylvie Taxi - tel : 05 55 73 55 43;;
limousin;Corrèze;Naves (Bourg);19460 NAVES;;"Renseignements à la Mairie
1 Rue de l'Hotel de Ville
19460 NAVES
Tél: 05 55 26 60 16";Ligne 07 Limoges Uzerche-Tulle;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Corrèze;Rosiers d'Egletons;19300 ROSIERS D'EGLETONS;;"Renseignements à la Mairie
Le Bourg
19300 ROSIERS D'EGLETONS
Tél: 05 55 93 08 14";Ligne 11 Brive-Tulle-Ussel-Clermont Ferrand;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
limousin;Corrèze;Tulle;"Place Henri Queuille 
19000 TULLE
Coordonnées GPS : 45.2646735 x 1.7676143";;"lundi au vendredi : de 6h15 à 20h25
samedi : de 9h00 à 17h40
dimanche et fêtes : de 9h25 à 11h30 et de 12h50 à 18h40";Ligne 11 Brive-Tulle-Ussel-Clermont Ferrand;87594499;Gare;oui;Assistance pour handicapés moteur, auditif et visuel pendant l'ouverture de la gareToilettes aménagées;relais H;non;;non;;oui;"http://www.transports-tulle.fr/
/Regions/limousin/Fr/Se_deplacer_en_TER/Avant_mon_voyage/Produits_et_prix/TousProduits.aspx?mode=1";;;Non;;;;;oui;;oui;;oui;Dumaine Serge Taxi - tel : 06 08 26 00 23;;
limousin;Corrèze;Ussel;"Avenue Pierre Semard
19200 USSEL
Coordonnées GPS : 45.5463304 x 2.3084833";;"du lundi au vendredi : de 5h30 à 20h00samedi : de 8h50 à 16h40
dimanche et fêtes : de 11h40 à 20h00";Ussel - Bort les Orgues;87594093;Gare;oui;Assistance pour handicapés moteur, auditif et visuel pendant l'ouverture de la gareToilettes aménagées;;non;;non;;non;;;;Non;;;;;oui;;oui;;non;AMELANT Annie tel : 09 62 14 03 87 / CHANUT Olivier tel : 05 55 72 18 60  / Frédéric MAGNE tel : 05 55 72 24 89 ou 060016358;;
limousin;Corrèze;Uzerche;"19-23 Avenue de la gare 
19140 UZERCHE
Coordonnées GPS : 45.4248116 x 1.5630497";;Du lundi au jeudi : de 5h00 à 22h00Vendredi : de 5h00 à minuitSamedi, dimanche et fêtes : de 5h00 à 22h30;Ligne 07 Limoges Uzerche-Tulle;87594200;Gare;non;Assistance pour handicapés moteur, auditif et visuel Toilettes aménagées;taxi à la demande;non;;non;;oui;;;;Non;;;;;non;;oui;;oui;Berrocal José Taxi - tel : 06 08 83 35 80;;
limousin;Corrèze;Eygurande;Arrêt routierRenseignements à la mairie d'Eygurande :Tel : 05 55 94 30 21Adresse : Place de la mairie 19340 Eygurande;;;Ligne 12 Ussel-Montlucon;;Arrêt Routier;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
lorraine;gares;ARCHES;Visuel emplacement autocars;;Lundi à vendredi : de 14h30 à 19h30.Samedi : de 8h00 à 12h30 et de 14h15 à 19h00.Dimanche et fêtes : de de 14h50 à 20h00.Accès au bâtiment voyageurs : du lundi au samedi de 5h30 à 22h15 et le dimanche de 6h30 à 22h15.;Ligne 13 - Epinal St-Die-des-vosges Saales Strasbourg;87144410;Gare;oui;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
lorraine;gares;AZERAILLES;Visuel emplacement autocars;;Point d'arrêt ferroviaire non équipé d'un distributeurs de billets régionaux.;Ligne 11 - Nancy St-Die-des-Vosges;87141408;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
lorraine;gares;BAINS-LES-BAINS;;;Point d'arrêt ferroviaire non équipé d'un distributeurs de billets régionaux.;Ligne 05 - Nancy Epinal Belfort;87144147;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
lorraine;gares;BASSE-HAM;Point d'arrêt ferrovaireVisuel emplacement autocars;;;Ligne 02 - Metz Thionville Apach Trèves (Hors Travaux);87191601;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
lorraine;gares;BERMERING;Adresse;;Horaires;Ligne 22 - Morhange Sarrebourg;92187;Halte Ferroviaire;non;;;non;;non;;non;;;;;;;;;non;;non;;non;;;
lorraine;gares;BLAINVILLE-DAMELEVIERES;Rue de la gare54360 BlainvilleVisuel emplacement autocars;;Lundi à vendredi : de 5h30 à 12h00 et de 12g15 à 18h45.Fermé les samedi,  dimanches et fêtes.Accès au bâtiment voyageurs : tous les jours de 5h30 à 18h45.;Ligne 04 - Nancy Epinal Remiremont;87141135;Gare;oui;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
lorraine;gares;BLAINVILLE-DAMELEVIERES;Rue de la gare54360 BlainvilleVisuel emplacement autocars;;Lundi à vendredi : de 5h30 à 12h00 et de 12g15 à 18h45.Fermé les samedi,  dimanches et fêtes.Accès au bâtiment voyageurs : tous les jours de 5h30 à 18h45.;Ligne 11 - Nancy St-Die-des-Vosges;87141135;Gare;oui;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
lorraine;gares;BRUYERES;AdresseVisuel emplacement autocars;;Lundi à vendredi : de 6h15 à 13h15 et de 14h40 à 20h00.Samedi  : de 9h30 à 11h35 et de 13h00 à 16h00.Dimanche et fêtes : de 14h15 à 19h15.Accès au bâtiment voyageurs : du lundi au vendredi de 5h50 à 20h40, le samedi de 9h30 à 11h35 et de 13h00 à 16h00, le dimanche et fêtes de 14h15 à 19h15.;Ligne 13 - Epinal St-Die-des-vosges Saales Strasbourg;87144154;Gare;oui;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
lorraine;gares;CHATEL-NOMEXY;Visuel emplacement autocars;;Point d'arrêt ferroviaire à accès libre.;Ligne 04 - Nancy Epinal Remiremont;87144071;Halte Ferroviaire;oui;;;non;;non;;non;;;;;;;;;non;;oui;;non;;;
franche_comte;Haute_saone;VESOUL;Place de la gare70000 VESOUL;;Du lundi au vendredi : de 9h50 à 18h20Le samedi : de 10h15 à 17h15Les dimanches et fêtes : de 13h00 à 18h30;Ligne Belfort-Vesoul- Epinal;87185009;Gare;oui;Accès Plus (service gratuit d'accueil et d'accompagnement) : réservation au 0 890 640 650 (0.11TTC/mn) ou sur www.accesplus.sncf.com;-hall d'attente-cabine téléphonique-presse-restauration de proximité-service des objets trouvés-photocopieuse, photomaton-dépose minute devant la gare, parking gratuit (capacité 150 places)-lignes routières TER;non;;non;;oui;Réseau de bus VBus - téléphone: 03 84 76 72 30;Non;;Non;;Non;;;oui;;oui;;oui;Des taxis sont présents devant le parvis de la gare;;
